trial_number,num_filters,filter_sizes,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
118,124,[2],27,CNN,a,0.00033009227576970664,0.1589319115976844,13,5,0.5054945054945055
119,111,[2],35,CNN,a,0.0006056088855881078,0.2208219083748897,23,5,0.48708487084870844
120,100,[2],40,CNN,a,0.00027924526496747473,0.2000994754839946,19,5,0.4688644688644688
121,133,[2],42,CNN,a,0.00036462159057287286,0.24338137979978314,18,5,0.5253164556962026
122,127,[2],31,CNN,a,0.0003438697764205883,0.24442978692053635,16,5,0.5014749262536873
123,135,[2],46,CNN,a,0.0004977753298020202,0.21286763509883674,18,5,0.48823529411764705
124,89,[2],43,CNN,a,0.00022879066367509392,0.29510290518409726,17,5,0.5
125,120,[2],40,CNN,a,0.00017959303789181618,0.2618915349070564,21,6,0.4999999999999999
126,132,[2],38,CNN,a,0.0002956891853249869,0.22792232956150654,18,5,0.4968152866242039
127,139,[2],33,CNN,a,0.0004117534306609418,0.18364599593418277,22,5,0.4888888888888889
128,127,[2],35,CNN,a,0.0002576138807639663,0.23991724589088081,15,5,0.5235294117647059
129,115,[2],35,CNN,a,0.00019812854392755078,0.05675790349798851,15,5,0.5345911949685535
130,107,[2],34,CNN,a,0.0005527685954690632,0.27930515795137056,15,5,0.5151515151515151
131,126,[2],36,CNN,a,0.00026444584481981077,0.05454203366536914,14,5,0.48101265822784817
132,112,[2],30,CNN,a,0.0002094319349893298,0.07155191639269867,12,5,0.48598130841121495
133,130,[2],32,CNN,a,0.00024796480134738644,0.027022721079677976,16,5,0.515527950310559
134,103,[2],39,CNN,a,0.000347062149725276,0.2519335857290769,15,5,0.5071225071225072
135,118,[2],36,CNN,a,0.00019778839452900691,0.23963595059242407,17,5,0.478688524590164
136,135,[2],47,CNN,a,0.00040125283597995816,0.0424177277496664,13,5,0.4573643410852713
137,114,[2],17,CNN,a,0.00013260332371599443,0.2713596898241955,16,5,0.46017699115044247
138,143,[2],42,CNN,a,0.00029943298246910453,0.06317890510870819,19,7,0.5107692307692309
139,125,[2],44,CNN,a,0.0006616281991601994,0.07661082523698055,14,5,0.5073746312684365
140,123,[2],50,CNN,a,0.0001745983967092406,0.09129185545673316,18,5,0.4985337243401759
141,180,[2],42,CNN,a,0.0003339940821930065,0.23458163644688124,20,8,0.5087719298245613
142,131,[2],31,CNN,a,0.0002491347592448819,0.009690894942713664,16,5,0.4816053511705686
143,118,[3],34,CNN,a,0.00044699097863903643,0.21311043224815845,18,5,0.4758842443729904
144,130,[2],29,CNN,a,0.00025762028246470166,0.036084428823483464,15,5,0.5364431486880467
145,128,[2],25,CNN,a,0.00038118692121321584,0.026086139381310148,15,5,0.4850299401197604
146,115,[2],29,CNN,a,0.0003010362395906207,0.039938962921235215,12,5,0.5181058495821725
147,115,[2],28,CNN,a,0.0002871561902438365,0.03522044657028347,11,5,0.5116279069767442
148,110,[2],29,CNN,a,0.0004834967619981041,0.043869434510072455,13,5,0.4891304347826087
149,121,[2],37,CNN,a,0.0003278895975586134,0.24632515822681322,12,5,0.48765432098765427
150,93,[2],27,CNN,a,0.0002129625043955486,0.22601657735664787,8,6,0.44370860927152317
151,103,[2],33,CNN,a,0.00023835479190396444,0.0598245804361916,14,5,0.4900662251655629
152,133,[3],30,CNN,a,0.00035985610622724627,0.05352622922705594,15,5,0.4794952681388013
153,140,[2],22,CNN,a,0.00027224792315117376,0.019685085913659788,17,5,0.5144508670520231
154,126,[3],54,CNN,a,4.870014630192266e-05,0.03578564894182318,10,5,0.3968871595330739
155,188,[3],50,CNN,a,0.00016042339803925683,0.2539061423654813,14,5,0.4906832298136647
156,116,[2],35,CNN,a,0.0004134736204525357,0.06959601713244329,49,9,0.49844236760124616
157,135,[2],48,CNN,a,0.0003100439370865827,0.004139265900324179,30,5,0.5191740412979352
158,134,[2],47,CNN,a,0.0003269401735736404,0.0008934110878977275,31,5,0.49838187702265374
159,146,[8],45,CNN,a,0.0004576730866636975,0.01785297312876513,29,5,0.46470588235294114
160,123,[2],49,CNN,a,0.0002947302962042126,0.033241338481100766,16,5,0.5139318885448916
