trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,Accuracy
25,30,LSTM,b,0.0002243250049094874,0.286692599404906,9,7,0.6300768386388584
26,26,LSTM,b,9.041544021954848e-05,0.11976593063162078,14,5,0.601536772777168
27,10,LSTM,b,0.0005245728888828434,0.39256483337141806,26,6,0.6761800219538968
28,38,LSTM,b,0.0004987757748220849,0.43758454303968697,36,7,0.6783754116355654
29,45,LSTM,b,2.7504708023725335e-06,0.3636420024853402,28,5,0.6300768386388584
30,56,LSTM,b,1.3116456238943834e-05,0.461134907024337,21,6,0.6180021953896817
31,32,LSTM,b,0.0006377621552243989,0.41691184903683454,16,6,0.7156970362239298
32,16,LSTM,b,0.0006644960557409604,0.41053869922153646,17,6,0.6959385290889133
33,18,LSTM,b,0.00019880544791950764,0.4026215779977584,16,5,0.6278814489571899
34,16,LSTM,b,0.0006416807242531261,0.423727365845811,10,7,0.6542261251372119
35,23,LSTM,b,0.00033128422675273404,0.3551995700708394,7,6,0.6630076838638859
36,42,LSTM,b,7.297442412368466e-05,0.3082552025599909,31,9,0.3721185510428101
37,33,LSTM,b,2.7829516691042315e-05,0.4142849564902236,5,6,0.6278814489571899
38,24,LSTM,b,0.00015066620537603723,0.0353518257656803,17,7,0.6092206366630076
39,48,LSTM,b,5.955687277196542e-06,0.4680152780852624,13,5,0.6300768386388584
40,13,LSTM,b,0.0002628090069754722,0.347721950083861,34,9,0.6278814489571899
41,31,LSTM,b,0.0006733911869611962,0.21521059681617585,41,6,0.716794731064764
42,20,LSTM,b,0.0007027784439354418,0.22614277313649317,41,6,0.6586169045005489
43,41,LSTM,b,0.0009830649244085322,0.26889640860847763,42,7,0.6630076838638859
44,32,LSTM,b,0.0006222897040406348,0.1959270839824684,38,6,0.6564215148188803
45,26,LSTM,b,0.0003990022730844095,0.4590461459260083,45,8,0.6520307354555434
46,64,LSTM,b,2.535656446888502e-05,0.2383145089782561,21,6,0.37102085620197583
47,85,LSTM,b,0.0003079389578781307,0.3352804546281581,15,5,0.7003293084522503
48,83,LSTM,b,0.00029942036276222423,0.33383750823114894,11,5,0.3896816684961581
49,97,LSTM,b,0.00017920097480324682,0.3674262017166372,7,5,0.41822173435784854
50,75,LSTM,b,0.0006150308784710853,0.19379589462330865,20,5,0.7189901207464325
51,84,LSTM,b,0.0005895204086897059,0.20513469775371562,19,5,0.3699231613611416
52,77,LSTM,b,0.0003942188170337412,0.1548812755984298,15,5,0.6223929747530187
53,91,LSTM,b,0.0007047360660981385,0.18224880797813084,26,5,0.6926454445664105
54,77,LSTM,b,0.00024073101933593338,0.2642787449609981,14,5,0.7233809001097695
55,72,LSTM,b,4.650162148200711e-05,0.26790884456299713,13,5,0.6300768386388584
56,79,LSTM,b,0.00013196069067292605,0.12618275467456133,50,5,0.7047200878155873
57,80,LSTM,b,0.00010710022924690981,0.12919301063307867,50,5,0.3721185510428101
58,65,LSTM,b,0.00025126176031860513,0.06307356995496824,47,5,0.3721185510428101
59,75,LSTM,b,0.00012774625654781314,0.18855445846896388,50,5,0.6289791437980241
60,89,LSTM,b,0.000426527138051242,0.09010748487699938,40,5,0.37102085620197583
61,85,LSTM,b,0.00035171096616644365,0.23809375673131336,43,5,0.703622392974753
62,100,LSTM,b,0.0004877890291281841,0.24177438323397318,45,5,0.5499451152579583
63,69,LSTM,b,0.00022428090965552163,0.16919296794874356,43,5,0.6871569703622393
64,79,LSTM,b,0.0008622915726967307,0.21692188505845536,39,6,0.712403951701427
65,77,LSTM,b,0.0008197652132857627,0.14278446317843302,33,6,0.6717892425905598
66,80,LSTM,b,0.000962140478916693,0.17686763692941598,29,6,0.672886937431394
67,70,LSTM,b,0.0005356261327625534,0.21671742568891153,39,8,0.7288693743139407
68,71,LSTM,b,0.0005467891922315429,0.2911075604151458,37,8,0.686059275521405
69,66,LSTM,b,0.0007859101373432957,0.2167450399145197,39,8,0.6278814489571899
70,58,LSTM,b,0.0005685718464824582,0.20895367267604154,35,8,0.6893523600439078
71,81,LSTM,b,0.00044727067855370015,0.2665364092427008,47,8,0.7113062568605928
72,73,LSTM,b,0.0004457805221212277,0.2631210798591062,39,8,0.6630076838638859
73,69,LSTM,b,0.0007565757761131996,0.22716716387433808,46,9,0.5433589462129528
74,60,LSTM,b,0.0008414956487415075,0.27994921293168956,23,8,0.703622392974753
75,87,LSTM,b,0.0005985560819725679,0.25107902629004436,9,7,0.6520307354555434
76,75,LSTM,b,0.00035108098599656037,0.3177217033341845,12,9,0.6673984632272228
77,34,LSTM,b,0.000997175491876398,0.3098086263774009,48,8,0.6520307354555434
78,82,LSTM,b,0.00047631279003179265,0.22352506354402724,31,7,0.6673984632272228
79,38,LSTM,b,0.000689769211441006,0.19614920296933658,44,8,0.6641053787047201
80,52,LSTM,b,0.00027228540278590894,0.2782057008416168,41,6,0.6926454445664105
81,80,LSTM,b,0.00038558866309079226,0.10795107008556354,48,6,0.703622392974753
82,76,LSTM,b,0.0005256452411566465,0.1421679404509696,49,6,0.7135016465422612
83,67,LSTM,b,1.9476418849036276e-05,0.1595619161430243,36,6,0.3699231613611416
84,73,LSTM,b,0.0005190036681170021,0.2046374994337513,46,6,0.70801317233809
85,63,LSTM,b,0.0004981523643496968,0.14470596488665466,45,6,0.6882546652030735
86,73,LSTM,b,6.889512029906075e-06,0.17377885447944524,49,6,0.6289791437980241
87,77,LSTM,b,0.0006020198159368597,0.20646217065309405,47,7,0.6959385290889133
88,82,LSTM,b,0.0004374833106808289,0.24767389812550375,43,6,0.6761800219538968
89,93,LSTM,b,2.0516171032824875e-06,0.1888323255627623,47,6,0.6300768386388584
90,87,LSTM,b,0.00032264981261507716,0.22818166933079698,18,7,0.6630076838638859
91,28,LSTM,b,0.0008160953883129748,0.2591983284177985,14,6,0.6849615806805708
92,78,LSTM,b,0.0006579385098500059,0.21562866437081452,46,6,0.6948408342480791
93,68,LSTM,b,0.0005352847853678059,0.20042018030210446,42,6,0.7091108671789242
94,70,LSTM,b,0.0005514014365266322,0.20372195381199149,41,7,0.6981339187705817
95,75,LSTM,b,0.00021635815153083347,0.1880833246653865,42,6,0.7025246981339188
96,74,LSTM,b,0.00017297891737190065,0.16197313708626532,44,6,0.716794731064764
97,76,LSTM,b,0.00017287561039713658,0.16333929933356037,39,10,0.7014270032930845
98,61,LSTM,b,0.00025645514121764467,0.13371268629162214,44,9,0.6915477497255763
99,71,LSTM,b,0.00034668843215653376,0.23870180692065524,38,6,0.6893523600439078
100,79,LSTM,b,0.00040645295881833464,0.1521281930266823,40,6,0.6673984632272228
101,68,LSTM,b,0.0007085960461405128,0.1969868947027855,42,6,0.6564215148188803
102,72,LSTM,b,0.0005307491852790775,0.1122792957273697,49,6,0.686059275521405
103,74,LSTM,b,0.0002957438333989318,0.17939437849012788,46,6,0.6684961580680571
104,67,LSTM,b,0.0006344242484825353,0.0873248648990953,45,6,0.6355653128430296
105,83,LSTM,b,0.000451511314989971,0.21902792447592986,20,8,0.535675082327113
106,63,LSTM,b,0.0007918563981940347,0.2315620833878551,44,7,0.6344676180021954
107,81,LSTM,b,0.0008607775310290988,0.16630657479780664,48,8,0.6377607025246982
108,73,LSTM,b,5.54881150480702e-05,0.251179749831588,42,6,0.3699231613611416
109,78,LSTM,b,8.090044051578639e-05,0.19943016600456093,17,6,0.6739846322722283
110,45,LSTM,b,0.00019034985648855654,0.13995021252513767,40,5,0.6761800219538968
111,36,LSTM,b,0.0009085595355541279,0.38253340340251346,14,5,0.3721185510428101
112,31,LSTM,b,0.0005270186203713066,0.4803329869621677,11,5,0.3699231613611416
113,29,LSTM,b,0.0007113979454804431,0.44908845423944377,10,6,0.6289791437980241
114,25,LSTM,b,0.0003812760389065436,0.43071067000495245,49,5,0.6586169045005489
115,76,LSTM,b,0.0009984859202662978,0.18534291894599997,8,8,0.703622392974753
116,74,LSTM,b,0.0005907034047380103,0.21109411091532762,16,5,0.6300768386388584
117,70,LSTM,b,0.0004898720634689483,0.3974077577392028,43,6,0.6937431394072447
118,21,LSTM,b,0.0007556370088382316,0.3002472426298886,37,6,0.725576289791438
119,22,LSTM,b,0.0006511635216455131,0.3010396831038017,37,6,0.6630076838638859
120,85,LSTM,b,0.00043767464854726216,0.267701459700726,38,6,0.6608122941822173
121,12,LSTM,b,0.0007382815020679077,0.2779912122528551,6,6,0.3699231613611416
122,17,LSTM,b,0.0008654350895365153,0.24388364763983222,41,5,0.6432491767288694
123,27,LSTM,b,0.0005917341840781451,0.2348827161320134,46,6,0.6849615806805708
124,47,LSTM,b,0.0007661430629707078,0.21937711732611404,35,6,0.6992316136114161
125,14,LSTM,b,0.0005015604472675679,0.2550639586365637,40,5,0.6783754116355654
126,21,LSTM,b,0.0006579688300305715,0.41893311795857546,44,6,0.6871569703622393
127,33,LSTM,b,0.00037979904603265734,0.32236017117653526,27,7,0.686059275521405
128,40,LSTM,b,0.00014998270304657043,0.3684470573561225,24,8,0.6158068057080132
129,79,LSTM,b,0.0008693061681987703,0.1704203601791885,47,6,0.7310647639956093
130,81,LSTM,b,0.0005683985354959668,0.1602253472957862,48,6,0.7200878155872668
131,81,LSTM,b,0.0005480987081425689,0.17724728186826477,49,6,0.6717892425905598
