trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
65,100,LSTM,a,0.00043147180516579217,0.22208079461238545,24,10,0.49
66,92,LSTM,a,0.00022135636361687242,0.3450135210334787,27,9,0.015384615384615384
67,95,LSTM,a,0.0009997604963735568,0.2424860239617833,19,10,0.4262295081967213
68,97,LSTM,a,0.0006281808651702602,0.3983794577893586,30,8,0.4491017964071856
69,33,LSTM,a,2.8401673561575108e-05,0.10606264754295822,35,10,0.0
70,89,LSTM,a,3.7065783921319527e-06,0.17674981008329405,26,7,0.36699857752489334
71,70,LSTM,a,0.0007826060070589699,0.29884016309343303,23,9,0.45161290322580644
72,67,LSTM,a,0.0004951204053432933,0.3180786773549603,22,9,0.49197860962566853
73,52,LSTM,a,0.0007933981780354308,0.26859727088432944,24,9,0.4764044943820225
74,75,LSTM,a,0.00030398186602959904,0.21084143028020888,20,8,0.4628571428571428
75,62,LSTM,a,0.0004289762410840501,0.3100248704108293,32,10,0.46043165467625896
76,56,LSTM,a,0.0005550000379309012,0.2612275768722641,15,10,0.4476744186046512
77,80,LSTM,a,0.0003291720875544087,0.3626926261205553,29,9,0.015384615384615384
78,87,LSTM,a,0.0007038858006543863,0.3336445756400161,22,8,0.4271047227926078
79,93,LSTM,a,0.00022378969128239798,0.04097340294865686,25,7,0.4794952681388013
80,96,LSTM,a,0.0001578931480523107,0.2254527344060171,31,10,0.5076142131979696
81,97,LSTM,a,0.0004115160454792615,0.20582156039401747,32,10,0.4925373134328358
82,96,LSTM,a,0.00014484982833756752,0.23053204300569505,34,10,0.47164179104477605
83,99,LSTM,a,0.0003868776642633464,0.19707205316959298,31,10,0.4169611307420495
84,97,LSTM,a,0.00025291332600899634,0.07417603656768537,32,10,0.493368700265252
85,91,LSTM,a,0.0002638698159981527,0.07374877349210454,36,10,0.49604221635883905
86,91,LSTM,a,0.0002954647419941117,0.10217783951161005,37,10,0.4573170731707317
87,93,LSTM,a,0.00014319501352291736,0.07377652823217797,35,10,0.5085714285714286
88,86,LSTM,a,8.942812752153672e-05,0.12640247804799865,35,10,0.015267175572519083
89,93,LSTM,a,0.00014441937013336652,0.06648794264808741,8,10,0.015384615384615384
90,89,LSTM,a,0.00016536056136893002,0.018087389354707863,29,10,0.4414893617021277
91,91,LSTM,a,0.00011389307575350936,0.1464750801272653,30,10,0.4352331606217617
92,94,LSTM,a,0.00019661286858987256,0.09363956642497345,36,10,0.45549738219895286
93,98,LSTM,a,0.0005014551858213534,0.07300086515409197,34,6,0.5182926829268292
94,84,LSTM,a,0.0004917534175688988,0.07515328370187346,33,6,0.015267175572519083
95,88,LSTM,a,0.00023198355443367478,0.04063820700435627,39,6,0.46920821114369504
96,98,LSTM,a,4.9753476131677463e-05,0.11927550954546048,36,6,0.0
97,94,LSTM,a,0.00031878545909307137,0.07866132115971133,27,10,0.5013477088948787
98,91,LSTM,a,0.0002736151226443082,0.05104203555750975,34,5,0.4386792452830188
99,79,LSTM,a,0.0003455208187247013,0.022040832109027724,27,10,0.4715447154471545
100,82,LSTM,a,0.00019878577074850356,0.07683298495179855,11,6,0.0
101,94,LSTM,a,0.0003196308395514771,0.10109816520512882,26,10,0.43916913946587544
102,95,LSTM,a,0.0003815745208151845,0.08471606899339375,28,10,0.4672364672364673
103,98,LSTM,a,0.0004854527946095263,0.4933877247820879,30,10,0.40909090909090906
104,93,LSTM,a,0.0005917198322223168,0.061797599943490614,31,10,0.4605678233438486
105,96,LSTM,a,0.00024773899518719774,0.22172030663055733,27,10,0.5072886297376092
106,96,LSTM,a,0.00013244304051409907,0.22071409946668158,38,10,0.4631578947368421
107,90,LSTM,a,8.910273365970097e-05,2.188992300412862e-05,33,10,0.49086161879895557
108,100,LSTM,a,0.0001729628823809123,0.1774287054528549,36,6,0.4840425531914894
109,86,LSTM,a,1.4751775631571606e-05,0.1581603102789779,27,10,0.36699857752489334
110,88,LSTM,a,0.0002440922321339219,0.1396294427286981,41,9,0.49056603773584906
111,92,LSTM,a,0.00039519444741851014,0.04041544760986776,25,10,0.49743589743589745
