trial_number,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,F1
181,93,LSTM,a,0.00045324006399674263,0.2970400675770551,24,10,0.4563380281690141
182,98,LSTM,a,0.0006566207252028709,0.21205350505195317,26,10,0.4542772861356931
183,95,LSTM,a,0.0003862279623164135,0.22690108604091888,30,10,0.5092024539877301
184,73,LSTM,a,0.0003182846301633361,0.22251031984387185,29,10,0.4871794871794872
185,17,LSTM,a,0.0003787389402755691,0.2452992257883564,30,10,0.42894056847545226
186,62,LSTM,a,0.00028132686626507447,0.20183859056937886,49,6,0.44819277108433725
187,95,LSTM,a,0.00019944589084844853,0.22818580218233123,32,10,0.48158640226628896
188,91,LSTM,a,0.00023342676990428923,0.10506527710760022,27,10,0.4700854700854701
189,97,LSTM,a,0.0005121972715891704,0.0442179648376827,28,10,0.4660194174757282
190,100,LSTM,a,0.00040701297068585163,0.21619503079273045,35,10,0.448
191,94,LSTM,a,0.0003440957365519969,0.23502229108664247,30,10,0.47961630695443636
192,92,LSTM,a,0.00046618904615202544,0.2541194844824512,17,10,0.4587155963302752
193,96,LSTM,a,0.000602371096154008,0.07112910452965907,23,10,0.44607843137254904
194,94,LSTM,a,0.000413023623420732,0.40741676373971425,34,10,0.4727272727272727
195,98,LSTM,a,0.0003020476457936438,0.1840701464469341,22,10,0.4688172043010753
196,69,LSTM,a,0.0003734783945004531,0.05894954871370857,26,6,0.5015290519877675
197,89,LSTM,a,0.00026031723571537575,0.059579270179486596,27,6,0.4680851063829787
198,56,LSTM,a,0.0003666994013573181,0.035361684335099695,26,6,0.4906832298136647
199,67,LSTM,a,0.00032643570000650873,0.05386483389966376,37,6,0.42142857142857143
