trial_number,num_filters,filter_sizes,hidden_dim,model_type,subtask,lr,dropout,num_epochs,patience,Accuracy
160,92,"[5, 2, 4, 5, 8, 6]",45,CNN,b,0.0007995921331982,0.14733302499282544,31,8,0.6542261251372119
161,122,"[6, 2, 4, 2, 3, 3]",80,CNN,b,0.0006358430775705546,0.24904475015035665,11,7,0.6575192096597146
162,20,"[2, 2, 3, 4, 7]",12,CNN,b,0.000869431552545002,0.2985136224257987,29,9,0.7025246981339188
163,106,"[6, 2, 4, 2, 4, 5]",93,CNN,b,0.0007537609545587374,0.15918399066897507,10,7,0.6871569703622393
164,38,"[3, 3, 3, 5, 6]",13,CNN,b,0.0006263339602989863,0.312025692615543,25,7,0.7102085620197585
165,109,"[6, 2, 4, 2, 2, 3]",82,CNN,b,0.0004538569132868111,0.18699580534692772,7,7,0.6849615806805708
166,43,"[3, 2, 2, 3, 5]",14,CNN,b,0.0008518360950991848,0.1334122785855792,26,9,0.6893523600439078
167,57,"[6, 2, 5, 2, 3, 4]",58,CNN,b,0.0007133126091082775,0.17096985041010052,13,7,0.721185510428101
168,58,"[6, 2, 5, 3, 2, 2]",51,CNN,b,0.0005424044950149141,0.16856673350914225,13,7,0.6882546652030735
169,55,"[6, 3]",57,CNN,b,0.0007019631903670133,0.17605214852599285,5,7,0.6948408342480791
170,184,"[5, 2, 6, 2, 3, 5]",56,CNN,b,0.00059321158047508,0.1969790833075323,18,7,0.6926454445664105
171,115,"[6, 2, 4, 2, 3, 4]",61,CNN,b,0.000791360151381194,0.22348059125211056,12,7,0.6783754116355654
172,13,"[3, 2, 6, 3, 7]",59,CNN,b,0.0009284980031407735,0.27335423169460066,28,8,0.6597145993413831
173,33,"[5, 2, 3, 4, 5]",18,CNN,b,0.0009993670118893603,0.33812386756697327,6,9,0.6904500548847421
174,69,"[6, 2, 5, 2, 3, 4]",86,CNN,b,0.0006834463766644225,0.15542043829566815,11,7,0.721185510428101
175,65,"[6, 2, 5, 2, 3, 3]",87,CNN,b,0.00047729736544836336,0.15829100729397744,9,7,0.6761800219538968
176,49,"[6, 2, 5, 2, 4, 4]",84,CNN,b,0.0006748455803808955,0.14233350957522076,7,7,0.6904500548847421
177,72,"[7, 3, 5, 2, 2, 3]",54,CNN,b,0.0005692800615944143,0.18094054326858477,13,7,0.7310647639956093
178,74,"[7, 3, 5, 2, 2, 3]",53,CNN,b,0.0005357332881843902,0.1726939479157087,14,7,0.7189901207464325
179,63,"[7, 3, 5, 2, 2, 3]",54,CNN,b,0.0005236754075039365,0.17748100748432383,15,7,0.6981339187705817
180,77,"[7, 3, 5, 2, 2, 3]",58,CNN,b,0.000582493204116593,0.1632442942390028,14,7,0.6937431394072447
181,73,"[7, 3, 5, 2, 2, 2]",52,CNN,b,0.0007261687114643838,0.1463646886248849,12,7,0.712403951701427
182,69,"[7, 3, 5, 2, 2, 4]",56,CNN,b,0.0003980644400098856,0.18799607439719793,16,7,0.6783754116355654
183,82,"[7, 3, 5, 2, 2, 3]",49,CNN,b,0.00046034604859460993,0.17128202799220615,13,7,0.7189901207464325
184,81,"[7, 3, 5, 2, 2, 3]",53,CNN,b,0.0006305087255353616,0.16681921759973187,14,7,0.6652030735455543
185,77,"[7, 3, 5, 2, 2, 3]",55,CNN,b,0.0005256079739494412,0.15722666835306925,13,7,0.7222832052689352
186,75,"[7, 3, 5, 2, 2, 3]",55,CNN,b,0.0003285347222028619,0.1560558329989882,13,7,0.6882546652030735
187,70,"[7, 3, 5, 2, 2, 2]",50,CNN,b,0.0004981619840894456,0.1752839177799274,13,7,0.7233809001097695
188,70,"[7, 3, 5, 2, 2, 2]",50,CNN,b,0.0004352598984877184,0.1797026529437243,12,7,0.7091108671789242
189,87,"[7, 3, 5, 2, 2, 3]",48,CNN,b,0.00026405344445516455,0.17129135671473367,11,7,0.716794731064764
190,80,"[7, 3, 5, 2, 2, 2]",52,CNN,b,0.000516444819397083,0.12931410046592096,13,7,0.7222832052689352
191,85,"[7, 3, 5, 2, 2, 2]",52,CNN,b,0.00035770284940056274,0.12795717497850184,13,7,0.7069154774972558
192,79,"[7, 3, 5, 2, 2, 3]",49,CNN,b,0.0005084842771168843,0.16647904353881768,13,7,0.7058177826564215
193,83,"[7, 3, 5, 2, 2, 3]",48,CNN,b,0.000544939016647656,0.13629769479009354,11,7,0.6838638858397366
194,75,"[7, 3, 5, 2, 2, 2]",46,CNN,b,0.00041341202244703077,0.15725035085626268,13,7,0.7145993413830956
195,70,"[7, 3, 5, 2, 2, 2]",51,CNN,b,0.000633458690306048,0.11500481703779482,14,7,0.712403951701427
196,88,"[8, 3, 6, 2, 2, 3]",49,CNN,b,0.0004975529024740768,0.14877249788679878,16,7,0.6663007683863886
197,67,"[7, 4, 5, 2, 2, 2]",54,CNN,b,0.00045603062702443656,0.20141665511804296,12,7,0.6673984632272228
198,77,"[7, 3, 5, 2, 2, 3]",52,CNN,b,0.0005615894558983189,0.17315686284139303,11,7,0.6805708013172338
199,81,"[7, 3, 6, 2, 2, 4]",50,CNN,b,0.00025682154044532327,0.10047528625659935,15,7,0.6893523600439078
